11.11.2011	9:44:14
A
Mass	Value
10,438	2,609757E-14
10,469	2,776385E-14
10,500	2,905685E-14
10,531	2,954252E-14
10,563	2,950826E-14
10,594	2,882747E-14
10,625	2,795706E-14
10,656	2,889917E-14
10,688	3,290487E-14
10,719	3,809281E-14
10,750	4,142174E-14
10,781	4,251425E-14
10,813	4,489207E-14
10,844	5,609894E-14
10,875	8,919282E-14
10,906	1,621853E-13
10,938	2,895467E-13
10,969	4,692803E-13
11,000	6,811355E-13
11,031	9,002299E-13
11,063	1,109019E-12
11,094	1,297972E-12
11,125	1,462606E-12
11,156	1,602411E-12
11,188	1,720284E-12
11,219	1,820594E-12
11,250	1,906784E-12
11,281	1,980485E-12
11,313	2,042091E-12
11,344	2,092098E-12
11,375	2,132231E-12
11,406	2,164748E-12
11,438	2,191123E-12
11,469	2,212527E-12
11,500	2,230349E-12
11,531	2,245283E-12
11,563	2,257553E-12
11,594	2,267812E-12
11,625	2,275662E-12
11,656	2,277956E-12
11,688	2,271007E-12
11,719	2,254313E-12
11,750	2,230254E-12
11,781	2,201041E-12
11,813	2,169146E-12
11,844	2,140843E-12
11,875	2,126088E-12
11,906	2,132898E-12
11,938	2,162051E-12
11,969	2,207076E-12
12,000	2,258778E-12
12,031	2,309119E-12
12,063	2,350922E-12
12,094	2,377360E-12
12,125	2,384347E-12
12,156	2,371025E-12
12,188	2,336612E-12
12,219	2,278052E-12
12,250	2,189000E-12
12,281	2,061067E-12
12,313	1,892617E-12
12,344	1,701862E-12
12,375	1,527918E-12
12,406	1,411502E-12
12,438	1,371715E-12
12,469	1,401655E-12
12,500	1,483672E-12
12,531	1,606086E-12
12,563	1,769400E-12
12,594	1,985770E-12
12,625	2,281352E-12
12,656	2,712532E-12
12,688	3,428235E-12
12,719	4,885906E-12
12,750	8,420702E-12
12,781	1,712832E-11
12,813	3,602037E-11
12,844	6,980116E-11
12,875	1,190303E-10
12,906	1,788059E-10
12,938	2,417904E-10
12,969	3,019389E-10
13,000	3,557351E-10
13,031	4,018098E-10
13,063	4,404023E-10
13,094	4,726573E-10
13,125	4,998117E-10
13,156	5,227915E-10
13,188	5,422010E-10
13,219	5,583965E-10
13,250	5,716096E-10
13,281	5,821040E-10
13,313	5,902396E-10
13,344	5,964140E-10
13,375	6,009991E-10
13,406	6,043692E-10
13,438	6,069187E-10
13,469	6,089638E-10
13,500	6,105960E-10
13,531	6,116278E-10
13,563	6,116785E-10
13,594	6,103266E-10
13,625	6,072416E-10
13,656	6,022481E-10
13,688	5,952970E-10
13,719	5,863889E-10
13,750	5,756164E-10
13,781	5,633448E-10
13,813	5,502436E-10
13,844	5,370314E-10
13,875	5,242355E-10
13,906	5,121918E-10
13,938	5,010711E-10
13,969	4,907737E-10
14,000	4,808288E-10
14,031	4,704399E-10
14,063	4,586614E-10
14,094	4,446237E-10
14,125	4,276856E-10
14,156	4,073065E-10
14,188	3,825736E-10
14,219	3,517251E-10
14,250	3,122246E-10
14,281	2,622019E-10
14,313	2,033611E-10
14,344	1,427876E-10
14,375	9,045521E-11
14,406	5,352352E-11
14,438	3,259124E-11
14,469	2,312878E-11
14,500	1,970034E-11
14,531	1,870040E-11
14,563	1,850573E-11
14,594	1,861516E-11
14,625	1,908148E-11
14,656	2,046877E-11
14,688	2,401796E-11
14,719	3,142596E-11
14,750	4,386760E-11
14,781	6,090101E-11
14,813	8,039133E-11
14,844	9,967616E-11
14,875	1,170542E-10
14,906	1,322496E-10
14,938	1,455923E-10
14,969	1,572593E-10
15,000	1,672912E-10
15,031	1,757786E-10
15,063	1,828706E-10
15,094	1,887338E-10
15,125	1,935191E-10
15,156	1,973389E-10
15,188	2,002759E-10
15,219	2,023873E-10
15,250	2,036797E-10
15,281	2,041333E-10
15,313	2,038386E-10
15,344	2,031246E-10
15,375	2,024681E-10
15,406	2,022054E-10
15,438	2,023317E-10
15,469	2,025696E-10
15,500	2,025910E-10
15,531	2,021818E-10
15,563	2,012872E-10
15,594	2,000302E-10
15,625	1,988234E-10
15,656	1,985466E-10
15,688	2,004238E-10
15,719	2,053155E-10
15,750	2,130029E-10
15,781	2,223054E-10
15,813	2,318363E-10
15,844	2,405816E-10
15,875	2,480404E-10
15,906	2,541053E-10
15,938	2,588331E-10
15,969	2,622514E-10
16,000	2,643149E-10
16,031	2,649623E-10
16,063	2,641532E-10
16,094	2,618540E-10
16,125	2,579792E-10
16,156	2,523064E-10
16,188	2,443975E-10
16,219	2,335524E-10
16,250	2,190477E-10
16,281	2,010071E-10
16,313	1,813529E-10
16,344	1,634276E-10
16,375	1,500929E-10
16,406	1,420826E-10
16,438	1,381296E-10
16,469	1,363636E-10
16,500	1,354657E-10
16,531	1,349680E-10
16,563	1,353374E-10
16,594	1,385528E-10
16,625	1,487031E-10
16,656	1,708442E-10
16,688	2,076155E-10
16,719	2,567242E-10
16,750	3,121912E-10
16,781	3,675674E-10
16,813	4,180548E-10
16,844	4,611231E-10
