"smaz.lda"
"Scan 1"
"Potential / V";"Current / A"
-3,39636;-8,3e-05
-3,36816;-8,11e-05
-3,33983;-8,05e-05
-3,32448;-8,57e-05
-3,28961;-8,26e-05
-3,27117;-8,49e-05
-3,24625;-8,41e-05
-3,22123;-8,43e-05
-3,19614;-8,51e-05
-3,17481;-8,26e-05
-3,1395;-8,36e-05
-3,12114;-8,51e-05
-3,0961;-8,55e-05
-3,07145;-8,22e-05
-3,04296;-8,3e-05
-3,0145;-8,36e-05
-2,99639;-8,28e-05
-2,96788;-8,38e-05
-2,94961;-8,45e-05
-2,92814;-8,32e-05
-2,89301;-8,26e-05
-2,87467;-8,39e-05
-2,85299;-8,47e-05
-2,81427;-8,58e-05
-2,79637;-8,3e-05
-2,77134;-8,32e-05
-2,74652;-8,15e-05
-2,71792;-8,34e-05
-2,69623;-8,43e-05
-2,6715;-8,17e-05
-2,63954;-8,32e-05
-2,62448;-8,57e-05
-2,60323;-8,24e-05
-2,5614;-8,17e-05
-2,54617;-8,49e-05
-2,5213;-8,36e-05
-2,49943;-8,62e-05
-2,47485;-8,22e-05
-2,43959;-8,28e-05
-2,4179;-8,36e-05
-2,39321;-8,07e-05
-2,37125;-8,41e-05
-2,34983;-8,24e-05
-2,31785;-8,41e-05
-2,29959;-8,47e-05
-2,26819;-8,09e-05
-2,23943;-8,43e-05
-2,22112;-8,53e-05
-2,19988;-8,19e-05
-2,16803;-8,24e-05
-2,14281;-8,45e-05
-2,1215;-8,17e-05
-2,09279;-8,47e-05
-2,07474;-8,32e-05
-2,03986;-8,02e-05
-2,01472;-8,15e-05
-1,99965;-8,41e-05
-1,97483;-8,24e-05
-1,94647;-8,2e-05
-1,92779;-8,66e-05
-1,89641;-8,26e-05
-1,86794;-8,32e-05
-1,84296;-8,3e-05
-1,81792;-8,34e-05
-1,80321;-8,26e-05
-1,77479;-8,28e-05
-1,74643;-8,24e-05
-1,72119;-8,47e-05
-1,69628;-8,38e-05
-1,66818;-8,09e-05
-1,64285;-8,41e-05
-1,61777;-8,49e-05
-1,59623;-8,43e-05
-1,57483;-8,24e-05
-1,54299;-8,28e-05
-1,52134;-8,32e-05
-1,49617;-8,49e-05
-1,47163;-8,05e-05
-1,43961;-8,26e-05
-1,42454;-8,51e-05
-1,3997;-8,36e-05
-1,36816;-8,11e-05
-1,34303;-8,24e-05
-1,32136;-8,3e-05
-1,29303;-8,24e-05
-1,27139;-8,28e-05
-1,23941;-8,45e-05
-1,21443;-8,43e-05
-1,19274;-8,51e-05
-1,17481;-8,26e-05
-1,13968;-8,19e-05
-1,12123;-8,43e-05
-1,0929;-8,36e-05
-1,07136;-8,3e-05
-1,04341;-7,88e-05
-1,01443;-8,43e-05
-0,999586;-8,47e-05
-0,968164;-8,11e-05
-0,943185;-8,09e-05
-0,921323;-8,34e-05
-0,893007;-8,26e-05
-0,868007;-8,26e-05
-0,83637;-8,2e-05
-0,82125;-8,41e-05
-0,793143;-8,13e-05
-0,767881;-8,38e-05
-0,742944;-8,32e-05
-0,72148;-8,19e-05
-0,689701;-8,17e-05
-0,66447;-8,39e-05
-0,646229;-8,43e-05
-0,621323;-8,34e-05
-0,59307;-8,2e-05
-0,571271;-8,39e-05
-0,542808;-8,45e-05
-0,52467;-8,39e-05
-0,493101;-8,17e-05
-0,467965;-8,3e-05
-0,442808;-8,45e-05
-0,420945;-8,7e-05
-0,389743;-8,13e-05
-0,371145;-8,51e-05
-0,346386;-8,28e-05
-0,31468;-8,19e-05
-0,292944;-8,32e-05
-0,274765;-8,3e-05
-0,242965;-8,3e-05
-0,214481;-8,38e-05
-0,193143;-8,13e-05
-0,167808;-8,45e-05
-0,146229;-8,43e-05
-0,121407;-8,26e-05
-0,0929649;-8,3e-05
-0,0712706;-8,39e-05
-0,042902;-8,36e-05
-0,0214804;-8,19e-05
0,0104562;-8,32e-05
0,0287189;-8,38e-05
0,0570351;-8,3e-05
0,0854771;-8,34e-05
0,103656;-8,32e-05
0,12852;-8,19e-05
0,163578;-8,15e-05
0,185697;-8,55e-05
0,200099;-8,17e-05
0,235299;-8,17e-05
0,260393;-8,26e-05
0,275298;-8,36e-05
0,303635;-8,3e-05
0,332171;-8,43e-05
0,353698;-8,36e-05
0,456855;-8,51e-05
0,417513;-8,66e-05
0,438777;-8,34e-05
0,457098;-8,36e-05
0,485351;-8,22e-05
0,507119;-8,38e-05
0,532129;-8,39e-05
0,553729;-8,39e-05
0,58215;-8,41e-05
0,60353;-8,2e-05
0,628635;-8,3e-05
0,656972;-8,24e-05
0,681972;-8,24e-05
0,703656;-8,32e-05
0,728593;-8,26e-05
0,756951;-8,22e-05
0,781993;-8,26e-05
0,803572;-8,24e-05
0,828572;-8,24e-05
0,860278;-8,15e-05
0,885456;-8,32e-05
0,903656;-8,32e-05
0,928436;-8,11e-05
0,953698;-8,36e-05
0,978698;-8,36e-05
1,0069;-8,17e-05
1,03201;-8,28e-05
1,05717;-8,43e-05
1,07186;-8,32e-05
1,11014;-8,02e-05
1,13537;-8,24e-05
1,15397;-8,62e-05
1,17868;-8,34e-05
1,20326;-7,94e-05
1,23524;-8,11e-05
1,25026;-8,32e-05
1,27826;-7,94e-05
1,31046;-8,32e-05
1,32548;-8,53e-05
1,35692;-8,19e-05
1,38188;-8,15e-05
