11.11.2011	9:22:01
A
Mass	Value
24,719	4,335107E-14
24,750	4,658098E-14
24,781	4,879315E-14
24,813	5,086684E-14
24,844	5,330842E-14
24,875	5,444466E-14
24,906	5,283375E-14
24,938	4,998317E-14
24,969	4,873960E-14
25,000	4,998782E-14
25,031	5,199735E-14
25,063	5,236074E-14
25,094	5,028228E-14
25,125	4,745579E-14
25,156	4,659053E-14
25,188	4,881984E-14
25,219	5,296754E-14
25,250	5,750248E-14
25,281	6,248316E-14
25,313	6,923594E-14
25,344	7,867815E-14
25,375	9,022672E-14
25,406	1,022867E-13
25,438	1,138767E-13
25,469	1,252606E-13
25,500	1,363897E-13
25,531	1,456801E-13
25,563	1,515136E-13
25,594	1,542623E-13
25,625	1,561052E-13
25,656	1,593749E-13
25,688	1,646966E-13
25,719	1,700856E-13
25,750	1,728892E-13
25,781	1,728648E-13
25,813	1,718215E-13
25,844	1,706232E-13
25,875	1,686962E-13
25,906	1,659318E-13
25,938	1,630077E-13
25,969	1,603252E-13
26,000	1,580287E-13
26,031	1,567099E-13
26,063	1,577739E-13
26,094	1,640707E-13
26,125	1,815571E-13
26,156	2,213007E-13
26,188	2,977436E-13
26,219	4,200076E-13
26,250	5,835009E-13
26,281	7,721403E-13
26,313	9,673855E-13
26,344	1,154332E-12
26,375	1,324047E-12
26,406	1,473538E-12
26,438	1,602925E-12
26,469	1,712916E-12
26,500	1,805212E-12
26,531	1,882747E-12
26,563	1,947301E-12
26,594	1,998679E-12
26,625	2,037697E-12
26,656	2,067925E-12
26,688	2,093510E-12
26,719	2,116203E-12
26,750	2,134571E-12
26,781	2,145575E-12
26,813	2,146873E-12
26,844	2,138008E-12
26,875	2,120749E-12
26,906	2,099553E-12
26,938	2,080871E-12
26,969	2,069908E-12
27,000	2,067441E-12
27,031	2,070053E-12
27,063	2,073100E-12
27,094	2,073008E-12
27,125	2,067336E-12
27,156	2,054459E-12
27,188	2,034427E-12
27,219	2,009647E-12
27,250	1,983841E-12
27,281	1,959433E-12
27,313	1,935063E-12
27,344	1,906352E-12
27,375	1,870300E-12
27,406	1,827964E-12
27,438	1,782212E-12
27,469	1,733987E-12
27,500	1,680155E-12
27,531	1,615552E-12
27,563	1,541361E-12
27,594	1,470882E-12
27,625	1,421141E-12
27,656	1,398386E-12
27,688	1,394727E-12
27,719	1,396434E-12
27,750	1,392519E-12
27,781	1,377755E-12
27,813	1,351726E-12
27,844	1,316579E-12
27,875	1,274601E-12
27,906	1,226805E-12
27,938	1,173449E-12
27,969	1,115541E-12
28,000	1,055513E-12
28,031	9,951071E-13
28,063	9,317298E-13
28,094	8,589120E-13
28,125	7,720582E-13
28,156	6,726967E-13
28,188	5,672047E-13
28,219	4,642941E-13
28,250	3,742130E-13
28,281	3,057405E-13
28,313	2,612052E-13
28,344	2,361017E-13
28,375	2,233185E-13
28,406	2,164395E-13
28,438	2,108256E-13
28,469	2,039347E-13
28,500	1,949037E-13
28,531	1,838219E-13
28,563	1,718055E-13
28,594	1,610323E-13
28,625	1,535187E-13
28,656	1,497091E-13
28,688	1,482747E-13
28,719	1,471258E-13
28,750	1,448623E-13
28,781	1,412344E-13
28,813	1,363532E-13
28,844	1,303285E-13
28,875	1,238959E-13
28,906	1,186131E-13
28,938	1,153816E-13
28,969	1,127035E-13
29,000	1,078901E-13
29,031	1,000810E-13
29,063	9,061380E-14
29,094	8,091488E-14
29,125	7,136663E-14
29,156	6,200428E-14
29,188	5,324503E-14
29,219	4,552299E-14
29,250	3,893381E-14
29,281	3,371319E-14
29,313	3,032477E-14
29,344	2,863108E-14
29,375	2,768569E-14
29,406	2,667605E-14
29,438	2,576558E-14
29,469	2,590754E-14
29,500	2,739675E-14
29,531	2,910152E-14
29,563	3,013382E-14
29,594	3,108890E-14
29,625	3,275844E-14
29,656	3,506783E-14
29,688	3,786909E-14
29,719	4,141000E-14
29,750	4,524977E-14
29,781	4,740201E-14
29,813	4,554920E-14
29,844	3,969961E-14
29,875	3,312576E-14
29,906	3,002736E-14
29,938	3,333875E-14
29,969	4,526294E-14
30,000	6,752498E-14
30,031	9,930055E-14
30,063	1,365106E-13
30,094	1,748871E-13
30,125	2,126587E-13
30,156	2,494002E-13
30,188	2,840663E-13
30,219	3,153754E-13
30,250	3,429692E-13
30,281	3,671700E-13
30,313	3,880399E-13
30,344	4,054439E-13
30,375	4,196597E-13
30,406	4,312588E-13
30,438	4,406077E-13
30,469	4,477601E-13
30,500	4,528350E-13
30,531	4,565905E-13
30,563	4,606103E-13
30,594	4,662113E-13
30,625	4,726258E-13
30,656	4,770666E-13
30,688	4,771266E-13
30,719	4,728587E-13
30,750	4,667875E-13
30,781	4,622023E-13
30,813	4,609295E-13
30,844	4,620222E-13
30,875	4,626437E-13
30,906	4,604529E-13
30,938	4,549806E-13
30,969	4,473189E-13
31,000	4,391183E-13
31,031	4,313855E-13
31,063	4,241079E-13
31,094	4,167894E-13
31,125	4,085897E-13
31,156	3,985809E-13
31,188	3,866810E-13
31,219	3,737255E-13
31,250	3,603957E-13
31,281	3,469714E-13
31,313	3,338104E-13
31,344	3,208940E-13
31,375	3,075859E-13
31,406	2,932432E-13
31,438	2,774958E-13
31,469	2,610389E-13
31,500	2,464220E-13
31,531	2,363830E-13
31,563	2,314951E-13
31,594	2,303723E-13
31,625	2,310306E-13
31,656	2,313897E-13
31,688	2,301254E-13
31,719	2,272588E-13
31,750	2,226405E-13
31,781	2,151120E-13
31,813	2,043281E-13
31,844	1,916979E-13
31,875	1,788847E-13
31,906	1,665111E-13
31,938	1,543826E-13
31,969	1,419841E-13
32,000	1,281658E-13
32,031	1,111297E-13
32,063	8,988296E-14
32,094	6,539292E-14
32,125	3,979771E-14
32,156	1,562419E-14
32,188	-4,335171E-15
32,219	-1,848182E-14
32,250	-2,751522E-14
32,281	-3,306500E-14
32,313	-3,636490E-14
32,344	-3,828142E-14
32,375	-3,912117E-14
32,406	-3,856595E-14
32,438	-3,677527E-14
32,469	-3,127393E-14
32,500	-3,289069E-14
32,531	-3,215305E-14
32,563	-3,019995E-14
32,594	-2,940627E-14
32,625	-3,087113E-14
32,656	-3,319800E-14
32,688	-3,439994E-14
32,719	-3,398044E-14
32,750	-3,301241E-14
32,781	-3,284663E-14
32,813	-3,372064E-14
32,844	-3,462513E-14
32,875	-3,474419E-14
32,906	-3,434023E-14
32,938	-3,390946E-14
32,969	-3,352637E-14
33,000	-3,305636E-14
33,031	-3,223293E-14
33,063	-3,095439E-14
33,094	-2,958090E-14
33,125	-2,848313E-14
33,156	-2,776700E-14
33,188	-2,742149E-14
33,219	-2,733267E-14
33,250	-2,731577E-14
33,281	-2,701685E-14
33,313	-2,582198E-14
33,344	-2,332812E-14
33,375	-2,036773E-14
33,406	-1,899361E-14
33,438	-2,018116E-14
33,469	-2,222058E-14
33,500	-2,263278E-14
33,531	-2,095570E-14
33,563	-1,870060E-14
33,594	-1,732250E-14
33,625	-1,721143E-14
33,656	-1,784215E-14
33,688	-1,811869E-14
33,719	-1,762634E-14
33,750	-1,759824E-14
33,781	-1,904639E-14
33,813	-2,050892E-14
33,844	-1,955143E-14
33,875	-1,604065E-14
33,906	-1,256817E-14
33,938	-1,187534E-14
33,969	-1,432987E-14
34,000	-1,751951E-14
34,031	-1,822148E-14
34,063	-1,559271E-14
34,094	-1,247624E-14
34,125	-1,228735E-14
34,156	-1,500938E-14
34,188	-1,773518E-14
34,219	-1,815106E-14
34,250	-1,629253E-14
34,281	-1,386763E-14
34,313	-1,268182E-14
34,344	-1,328025E-14
34,375	-1,483744E-14
34,406	-1,641106E-14
34,438	-1,767563E-14
34,469	-1,847184E-14
34,500	-1,881466E-14
34,531	-1,931405E-14
34,563	-2,061960E-14
34,594	-2,246003E-14
34,625	-2,357287E-14
34,656	-2,267894E-14
34,688	-1,982611E-14
